"Added to cart","Added to cart"
"Added to compare","Added to compare"
"Added to wish list","Added to wish list"
"Could not add to cart","Could not add to cart"
"Could not update compare","Could not update compare"
"Could not update wish list","Could not update wish list"
"Open in Google Maps","Open in Google Maps"
"Product","Product"
"Product carousel","Product carousel"
"Removed from compare","Removed from compare"
"Removed from wish list","Removed from wish list"
"Show the interactive map","Show the interactive map"
"Skip the carousel","Skip the carousel"
"The interactive map is unavailable.","The interactive map is unavailable."
